DATE,CASE_CNT,DEATH_CNT,VAC_CNT,AGE
2020-03-28,0.0,0.0,0.0,0-9
2020-03-28,0.0,0.0,0.0,10-19
2020-03-28,0.0,0.0,0.0,20-29
2020-03-28,0.0,0.0,0.0,30-39
2020-03-28,0.0,0.0,0.0,40-49
2020-03-28,0.0,0.0,0.0,50-59
2020-03-28,0.0,0.0,0.0,60-69
2020-03-28,0.0,0.0,0.0,70-79
2020-03-28,0.0,0.0,0.0,80+
2020-03-28,0.0,0.0,0.0,Unknown
2020-03-29,4.0,0.0,0.0,0-9
2020-03-29,21.0,0.0,0.0,10-19
2020-03-29,165.0,0.0,0.0,20-29
2020-03-29,203.0,0.0,0.0,30-39
2020-03-29,241.0,0.0,0.0,40-49
2020-03-29,243.0,0.0,0.0,50-59
2020-03-29,191.0,0.0,0.0,60-69
2020-03-29,117.0,0.0,0.0,70-79
2020-03-29,54.0,0.0,0.0,80+
2020-03-29,0.0,0.0,0.0,Unknown
2020-03-30,1.0,0.0,0.0,0-9
2020-03-30,6.0,0.0,0.0,10-19
2020-03-30,23.0,0.0,0.0,20-29
2020-03-30,44.0,0.0,0.0,30-39
2020-03-30,21.0,0.0,0.0,40-49
2020-03-30,31.0,0.0,0.0,50-59
2020-03-30,28.0,0.0,0.0,60-69
2020-03-30,22.0,0.0,0.0,70-79
2020-03-30,-1.0,0.0,0.0,80+
2020-03-30,0.0,0.0,0.0,Unknown
2020-03-31,1.0,0.0,0.0,0-9
2020-03-31,5.0,0.0,0.0,10-19
2020-03-31,27.0,0.0,0.0,20-29
2020-03-31,43.0,0.0,0.0,30-39
2020-03-31,42.0,0.0,0.0,40-49
2020-03-31,61.0,0.0,0.0,50-59
2020-03-31,41.0,0.0,0.0,60-69
2020-03-31,18.0,0.0,0.0,70-79
2020-03-31,8.0,0.0,0.0,80+
2020-03-31,0.0,0.0,0.0,Unknown
2020-04-01,0.0,0.0,0.0,0-9
2020-04-01,7.0,0.0,0.0,10-19
2020-04-01,37.0,0.0,0.0,20-29
2020-04-01,55.0,0.0,0.0,30-39
2020-04-01,68.0,0.0,0.0,40-49
2020-04-01,61.0,0.0,0.0,50-59
2020-04-01,49.0,0.0,0.0,60-69
2020-04-01,30.0,0.0,0.0,70-79
2020-04-01,18.0,0.0,0.0,80+
2020-04-01,0.0,0.0,0.0,Unknown
2020-04-02,3.0,0.0,0.0,0-9
2020-04-02,7.0,0.0,0.0,10-19
2020-04-02,34.0,0.0,0.0,20-29
2020-04-02,65.0,0.0,0.0,30-39
2020-04-02,65.0,0.0,0.0,40-49
2020-04-02,75.0,0.0,0.0,50-59
2020-04-02,48.0,0.0,0.0,60-69
2020-04-02,30.0,0.0,0.0,70-79
2020-04-02,19.0,0.0,0.0,80+
2020-04-02,0.0,0.0,0.0,Unknown
2020-04-03,0.0,0.0,0.0,0-9
2020-04-03,9.0,0.0,0.0,10-19
2020-04-03,49.0,0.0,0.0,20-29
2020-04-03,75.0,0.0,0.0,30-39
2020-04-03,72.0,0.0,0.0,40-49
2020-04-03,81.0,0.0,0.0,50-59
2020-04-03,66.0,0.0,0.0,60-69
2020-04-03,49.0,0.0,0.0,70-79
2020-04-03,26.0,0.0,0.0,80+
2020-04-03,0.0,0.0,0.0,Unknown
2020-04-04,4.0,0.0,0.0,0-9
2020-04-04,10.0,0.0,0.0,10-19
2020-04-04,44.0,0.0,0.0,20-29
2020-04-04,72.0,0.0,0.0,30-39
2020-04-04,66.0,0.0,0.0,40-49
2020-04-04,73.0,0.0,0.0,50-59
2020-04-04,50.0,0.0,0.0,60-69
2020-04-04,33.0,0.0,0.0,70-79
2020-04-04,15.0,0.0,0.0,80+
2020-04-04,0.0,0.0,0.0,Unknown
2020-04-05,3.0,0.0,0.0,0-9
2020-04-05,4.0,0.0,0.0,10-19
2020-04-05,43.0,0.0,0.0,20-29
2020-04-05,81.0,0.0,0.0,30-39
2020-04-05,91.0,0.0,0.0,40-49
2020-04-05,111.0,0.0,0.0,50-59
2020-04-05,73.0,0.0,0.0,60-69
2020-04-05,55.0,0.0,0.0,70-79
2020-04-05,23.0,0.0,0.0,80+
2020-04-05,0.0,0.0,0.0,Unknown
2020-04-06,0.0,0.0,0.0,0-9
2020-04-06,7.0,0.0,0.0,10-19
2020-04-06,47.0,0.0,0.0,20-29
2020-04-06,80.0,0.0,0.0,30-39
2020-04-06,71.0,0.0,0.0,40-49
2020-04-06,89.0,0.0,0.0,50-59
2020-04-06,51.0,0.0,0.0,60-69
2020-04-06,53.0,0.0,0.0,70-79
2020-04-06,38.0,0.0,0.0,80+
2020-04-06,0.0,0.0,0.0,Unknown
2020-04-07,5.0,0.0,0.0,0-9
2020-04-07,6.0,0.0,0.0,10-19
2020-04-07,36.0,0.0,0.0,20-29
2020-04-07,55.0,0.0,0.0,30-39
2020-04-07,58.0,0.0,0.0,40-49
2020-04-07,66.0,0.0,0.0,50-59
2020-04-07,46.0,0.0,0.0,60-69
2020-04-07,38.0,0.0,0.0,70-79
2020-04-07,16.0,0.0,0.0,80+
2020-04-07,0.0,0.0,0.0,Unknown
2020-04-08,6.0,0.0,0.0,0-9
2020-04-08,27.0,0.0,0.0,10-19
2020-04-08,120.0,0.0,0.0,20-29
2020-04-08,195.0,0.0,0.0,30-39
2020-04-08,220.0,0.0,0.0,40-49
2020-04-08,244.0,0.0,0.0,50-59
2020-04-08,190.0,0.0,0.0,60-69
2020-04-08,105.0,0.0,0.0,70-79
2020-04-08,51.0,0.0,0.0,80+
2020-04-08,0.0,0.0,0.0,Unknown
2020-04-09,6.0,0.0,0.0,0-9
2020-04-09,18.0,0.0,0.0,10-19
2020-04-09,76.0,0.0,0.0,20-29
2020-04-09,108.0,0.0,0.0,30-39
2020-04-09,130.0,0.0,0.0,40-49
2020-04-09,147.0,0.0,0.0,50-59
2020-04-09,80.0,0.0,0.0,60-69
2020-04-09,50.0,0.0,0.0,70-79
2020-04-09,41.0,0.0,0.0,80+
2020-04-09,0.0,0.0,0.0,Unknown
2020-04-10,3.0,0.0,0.0,0-9
2020-04-10,19.0,0.0,0.0,10-19
2020-04-10,71.0,0.0,0.0,20-29
2020-04-10,129.0,0.0,0.0,30-39
2020-04-10,136.0,0.0,0.0,40-49
2020-04-10,139.0,0.0,0.0,50-59
2020-04-10,138.0,0.0,0.0,60-69
2020-04-10,85.0,0.0,0.0,70-79
2020-04-10,63.0,0.0,0.0,80+
2020-04-10,0.0,0.0,0.0,Unknown
2020-04-11,9.0,0.0,0.0,0-9
2020-04-11,16.0,0.0,0.0,10-19
2020-04-11,83.0,0.0,0.0,20-29
2020-04-11,112.0,0.0,0.0,30-39
2020-04-11,132.0,0.0,0.0,40-49
2020-04-11,144.0,0.0,0.0,50-59
2020-04-11,90.0,0.0,0.0,60-69
2020-04-11,72.0,0.0,0.0,70-79
2020-04-11,68.0,0.0,0.0,80+
2020-04-11,0.0,0.0,0.0,Unknown
2020-04-12,7.0,0.0,0.0,0-9
2020-04-12,10.0,0.0,0.0,10-19
2020-04-12,51.0,0.0,0.0,20-29
2020-04-12,73.0,0.0,0.0,30-39
2020-04-12,91.0,0.0,0.0,40-49
2020-04-12,110.0,0.0,0.0,50-59
2020-04-12,71.0,0.0,0.0,60-69
2020-04-12,59.0,0.0,0.0,70-79
2020-04-12,59.0,0.0,0.0,80+
2020-04-12,0.0,0.0,0.0,Unknown
2020-04-13,11.0,0.0,0.0,0-9
2020-04-13,18.0,0.0,0.0,10-19
2020-04-13,64.0,0.0,0.0,20-29
2020-04-13,121.0,0.0,0.0,30-39
2020-04-13,133.0,0.0,0.0,40-49
2020-04-13,126.0,0.0,0.0,50-59
2020-04-13,105.0,0.0,0.0,60-69
2020-04-13,61.0,0.0,0.0,70-79
2020-04-13,72.0,0.0,0.0,80+
2020-04-13,0.0,0.0,0.0,Unknown
2020-04-14,7.0,0.0,0.0,0-9
2020-04-14,9.0,0.0,0.0,10-19
2020-04-14,60.0,0.0,0.0,20-29
2020-04-14,92.0,0.0,0.0,30-39
2020-04-14,103.0,0.0,0.0,40-49
2020-04-14,101.0,0.0,0.0,50-59
2020-04-14,72.0,0.0,0.0,60-69
2020-04-14,58.0,0.0,0.0,70-79
2020-04-14,34.0,0.0,0.0,80+
2020-04-14,0.0,0.0,0.0,Unknown
2020-04-15,4.0,0.0,0.0,0-9
2020-04-15,5.0,0.0,0.0,10-19
2020-04-15,59.0,0.0,0.0,20-29
2020-04-15,67.0,0.0,0.0,30-39
2020-04-15,68.0,0.0,0.0,40-49
2020-04-15,103.0,0.0,0.0,50-59
2020-04-15,85.0,0.0,0.0,60-69
2020-04-15,75.0,0.0,0.0,70-79
2020-04-15,94.0,0.0,0.0,80+
2020-04-15,0.0,0.0,0.0,Unknown
2020-04-16,12.0,0.0,0.0,0-9
2020-04-16,27.0,0.0,0.0,10-19
2020-04-16,73.0,0.0,0.0,20-29
2020-04-16,114.0,0.0,0.0,30-39
2020-04-16,143.0,0.0,0.0,40-49
2020-04-16,133.0,0.0,0.0,50-59
2020-04-16,128.0,0.0,0.0,60-69
2020-04-16,55.0,0.0,0.0,70-79
2020-04-16,67.0,0.0,0.0,80+
2020-04-16,0.0,0.0,0.0,Unknown
2020-04-17,0.0,0.0,0.0,0-9
2020-04-17,11.0,0.0,0.0,10-19
2020-04-17,65.0,0.0,0.0,20-29
2020-04-17,98.0,0.0,0.0,30-39
2020-04-17,137.0,0.0,0.0,40-49
2020-04-17,149.0,0.0,0.0,50-59
2020-04-17,108.0,0.0,0.0,60-69
2020-04-17,106.0,0.0,0.0,70-79
2020-04-17,114.0,0.0,0.0,80+
2020-04-17,0.0,0.0,0.0,Unknown
2020-04-18,3.0,0.0,0.0,0-9
2020-04-18,12.0,0.0,0.0,10-19
2020-04-18,84.0,0.0,0.0,20-29
2020-04-18,128.0,0.0,0.0,30-39
2020-04-18,127.0,0.0,0.0,40-49
2020-04-18,112.0,0.0,0.0,50-59
2020-04-18,121.0,0.0,0.0,60-69
2020-04-18,82.0,0.0,0.0,70-79
2020-04-18,67.0,0.0,0.0,80+
2020-04-18,0.0,0.0,0.0,Unknown
2020-04-19,4.0,0.0,0.0,0-9
2020-04-19,23.0,0.0,0.0,10-19
2020-04-19,80.0,0.0,0.0,20-29
2020-04-19,90.0,0.0,0.0,30-39
2020-04-19,97.0,0.0,0.0,40-49
2020-04-19,93.0,0.0,0.0,50-59
2020-04-19,67.0,0.0,0.0,60-69
2020-04-19,33.0,0.0,0.0,70-79
2020-04-19,35.0,0.0,0.0,80+
2020-04-19,0.0,0.0,0.0,Unknown
2020-04-20,15.0,0.0,0.0,0-9
2020-04-20,23.0,0.0,0.0,10-19
2020-04-20,97.0,0.0,0.0,20-29
2020-04-20,145.0,0.0,0.0,30-39
2020-04-20,130.0,0.0,0.0,40-49
2020-04-20,140.0,0.0,0.0,50-59
2020-04-20,117.0,0.0,0.0,60-69
2020-04-20,99.0,0.0,0.0,70-79
2020-04-20,88.0,0.0,0.0,80+
2020-04-20,0.0,0.0,0.0,Unknown
2020-04-21,10.0,0.0,0.0,0-9
