DATE,MONTH,AGE,CASE_CNT,DEATH_CNT,VAC_CNT,CASE_PCT_CHG,DEATH_PCT_CHG,VAC_PCT_CHG
2020-03-31,March 2020,0-9,5.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,April 2020,0-9,251.0,0.0,0.0,49.2,0.0,0.0
2020-05-31,May 2020,0-9,997.0,0.0,0.0,2.9721115537848606,0.0,0.0
2020-06-30,June 2020,0-9,753.0,0.0,0.0,-0.24473420260782353,0.0,0.0
2020-07-31,July 2020,0-9,875.0,0.0,0.0,0.16201859229747684,0.0,0.0
2020-08-31,August 2020,0-9,1043.0,0.0,0.0,0.19199999999999995,0.0,0.0
2020-09-30,September 2020,0-9,711.0,0.0,0.0,-0.3183125599232982,0.0,0.0
2020-10-31,October 2020,0-9,1028.0,0.0,0.0,0.4458509142053446,0.0,0.0
2020-11-30,November 2020,0-9,2509.0,0.0,0.0,1.440661478599222,0.0,0.0
2020-12-31,December 2020,0-9,4179.0,1.0,0.0,0.6656038262255879,1,0.0
2021-01-31,January 2021,0-9,4812.0,1.0,0.0,0.1514716439339554,0.0,0.0
2021-02-28,February 2021,0-9,1806.0,1.0,0.0,-0.6246882793017456,0.0,0.0
2021-03-31,March 2021,0-9,2181.0,0.0,0.0,0.20764119601328912,-1.0,0.0
2021-04-30,April 2021,0-9,3334.0,0.0,0.0,0.5286565795506648,0.0,0.0
2021-05-31,May 2021,0-9,1436.0,0.0,0.0,-0.5692861427714457,0.0,0.0
2021-06-30,June 2021,0-9,246.0,0.0,0.0,-0.8286908077994429,0.0,0.0
2020-03-31,March 2020,10-19,27.0,0.0,0.0,-0.8902439024390244,0.0,0.0
2020-04-30,April 2020,10-19,512.0,0.0,0.0,17.962962962962962,0.0,0.0
2020-05-31,May 2020,10-19,1725.0,1.0,0.0,2.369140625,1,0.0
2020-06-30,June 2020,10-19,1197.0,0.0,0.0,-0.3060869565217391,-1.0,0.0
2020-07-31,July 2020,10-19,1838.0,0.0,0.0,0.5355054302422724,0.0,0.0
